Instance,Time,Cost,FacilityState,CustomerState
23,0.236,9723.0,1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 ,0 6 11 2 4 5 19 11 5 4 11 5 15 6 15 19 4 0 0 5 15 4 4 5 19 2 15 11 5 6 4 0 6 4 0 15 0 6 11 15 0 6 19 19 4 5 0 5 2 2 
24,0.229,12638.0,0 0 0 1 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 ,16 6 14 8 4 14 3 11 19 4 11 9 8 6 11 19 4 9 11 16 19 16 4 9 19 3 11 16 19 6 4 8 6 4 9 8 11 6 11 16 3 6 16 19 4 4 3 14 8 8 
25,0.408,12844.0,0 0 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 0 0 ,21 10 7 16 20 8 13 8 21 13 26 13 24 21 5 8 13 8 7 5 21 27 27 16 5 10 20 8 5 27 4 13 10 10 4 21 27 21 16 5 4 13 15 10 4 10 20 8 5 13 22 13 8 7 13 21 27 8 13 5 22 13 8 7 13 4 13 22 10 4 8 22 24 21 4 10 7 8 5 7 4 13 10 10 4 21 27 24 16 16 4 13 8 10 4 26 13 24 7 5 4 13 22 10 4 22 20 8 8 5 10 20 8 5 13 22 27 8 7 5 27 20 8 5 7 22 20 8 13 26 10 13 8 7 7 22 27 8 8 5 8 13 10 10 4 22 20 8 15 5 
26,0.401,11627.0,0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 0 ,21 10 8 25 20 8 13 18 21 13 20 13 24 21 5 8 13 8 7 5 21 27 8 7 5 10 20 8 5 9 4 13 11 9 4 21 27 8 7 5 11 13 18 10 4 10 20 8 5 7 22 13 8 7 13 21 27 8 13 11 22 13 8 7 9 4 13 22 9 4 8 22 18 21 4 10 7 8 5 7 11 13 10 10 4 21 27 24 11 5 4 13 8 9 4 20 13 24 21 5 4 13 22 9 4 22 20 8 25 5 10 20 8 5 7 22 27 8 25 5 27 20 8 5 7 22 20 8 13 25 10 13 8 7 7 21 27 8 25 25 8 13 18 10 4 22 20 8 25 25 
27,0.444,13118.0,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 ,21 10 8 3 5 8 13 8 21 13 8 13 24 21 5 8 13 8 7 5 21 27 27 7 5 10 27 8 5 17 4 13 10 7 4 21 27 8 7 5 4 13 10 10 4 10 27 8 5 13 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 24 21 4 10 7 8 5 7 4 13 10 10 4 21 27 24 4 5 4 13 8 10 4 8 13 24 7 5 4 17 17 10 3 10 27 8 8 13 10 27 8 5 13 10 27 8 7 5 27 27 8 5 13 21 27 8 13 5 10 13 8 7 13 21 27 8 3 5 8 13 10 10 4 10 27 8 8 5 
28,0.708,15876.0,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 27 3 3 5 8 13 8 21 13 8 13 8 4 5 8 27 8 21 5 21 27 8 21 5 5 27 8 5 17 4 13 10 10 4 21 27 8 4 5 4 13 10 10 4 10 27 8 5 13 10 13 8 10 13 21 27 3 3 8 10 13 8 5 13 4 17 10 10 3 8 13 8 10 4 10 27 8 27 13 4 13 10 10 4 21 27 8 4 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 13 10 27 8 5 13 10 27 8 5 5 27 27 8 5 13 10 27 8 13 5 10 13 8 5 13 21 27 3 3 5 8 13 10 10 4 10 27 8 8 13 
29,0.633,13724.0,0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1 ,21 10 7 3 5 8 13 18 21 13 8 13 18 21 5 8 27 18 7 5 21 27 27 25 5 10 27 8 5 17 4 2 11 7 4 21 27 21 25 5 11 13 18 10 4 10 27 8 5 7 10 13 8 7 13 21 27 8 3 25 10 13 8 7 13 4 17 11 7 3 8 13 18 21 4 29 7 8 7 7 11 2 10 10 4 21 27 27 11 5 4 13 18 10 4 8 13 18 21 5 4 17 17 10 3 10 27 8 25 5 10 27 8 5 7 10 27 8 25 5 27 7 8 5 7 21 27 3 13 25 10 13 8 7 7 21 27 3 25 25 11 13 18 10 4 10 27 29 25 25 
30,0.482,12247.0,0 0 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 ,21 10 7 3 5 8 13 8 21 9 6 13 24 21 5 6 27 8 7 5 21 27 27 7 5 22 27 8 5 6 4 13 11 9 4 21 27 21 16 5 11 13 10 10 4 7 27 8 5 7 22 13 8 7 13 21 27 3 3 11 22 13 8 7 9 4 13 22 9 3 11 22 24 21 4 10 7 16 5 7 11 13 10 10 4 21 27 24 11 5 4 13 8 9 4 6 16 24 21 5 4 13 22 9 3 22 27 8 25 5 10 27 8 5 7 22 27 8 7 5 27 7 8 5 9 22 27 8 13 25 10 13 16 7 7 21 27 3 25 25 8 13 10 10 4 22 27 8 25 25 
31,0.605,14655.0,1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 ,21 10 0 3 5 8 13 8 21 13 21 13 27 21 5 21 27 8 7 5 21 27 27 7 5 22 0 8 5 17 4 13 10 7 4 21 27 21 7 5 4 13 15 10 4 10 0 8 5 7 22 13 8 7 13 21 27 3 3 25 22 13 8 7 13 4 17 22 10 3 15 22 15 21 4 10 7 8 7 7 4 13 10 10 4 21 27 27 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 4 22 27 8 25 5 10 0 8 5 7 22 27 8 25 5 27 0 8 5 7 22 27 3 15 25 10 13 8 7 7 21 27 3 25 25 8 13 15 10 4 22 27 3 15 25 
32,0.687,16193.0,0 0 0 1 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 ,21 10 3 3 5 8 13 8 21 9 8 13 27 21 28 21 27 8 7 5 21 27 27 7 5 22 27 8 5 27 4 13 10 9 4 21 28 21 7 5 4 13 10 10 4 10 27 8 5 7 22 13 8 7 13 21 27 3 3 5 22 13 8 7 9 4 13 22 9 3 4 22 8 21 4 10 7 8 5 7 4 13 10 10 4 21 28 21 7 5 4 13 8 9 4 21 27 27 21 5 4 13 28 9 3 22 27 8 8 9 10 27 9 5 7 22 27 8 7 5 27 7 9 5 7 22 27 3 13 9 10 13 8 7 7 21 28 3 3 5 8 13 10 10 4 22 27 8 5 9 
