Instance,Time,Cost,FacilityState,CustomerState
23,0.182,10572,1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 ,0 6 14 19 4 14 19 11 19 4 11 9 14 6 11 19 4 0 0 16 19 16 4 9 19 19 11 16 19 6 4 0 6 4 0 16 0 6 11 16 0 6 16 19 6 4 0 14 4 9 
24,0.186,13532,0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 ,19 6 16 6 4 4 19 16 19 4 11 9 11 11 11 19 4 9 11 16 9 16 9 9 19 19 11 16 9 4 4 16 6 4 9 4 11 6 11 16 16 6 16 19 6 16 19 6 6 9 
25,0.281,12057,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 10 7 3 5 8 13 8 21 13 8 13 8 21 5 8 13 8 10 5 21 27 27 8 5 10 27 8 5 17 4 13 10 7 4 21 27 8 7 5 4 13 10 10 4 10 27 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 27 10 3 8 13 8 21 4 10 7 8 5 13 4 13 10 10 4 21 27 27 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 7 10 27 8 7 5 27 7 8 5 13 10 27 8 13 5 10 13 8 7 13 21 27 8 3 5 8 13 10 10 4 10 27 8 8 5 
26,0.292,10737,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 ,21 10 8 3 5 8 13 8 21 13 8 13 8 21 5 8 13 8 7 5 21 27 27 7 19 10 27 8 5 17 4 13 10 7 4 21 27 8 7 5 4 13 10 10 4 10 27 8 5 13 10 13 8 7 13 21 27 3 3 5 10 13 8 7 13 4 17 10 10 3 8 13 10 21 4 10 7 8 5 13 4 13 10 10 4 21 27 8 7 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 10 27 8 5 13 10 27 8 7 5 27 7 8 5 7 21 27 8 13 5 10 13 8 7 13 10 27 8 3 5 8 13 10 10 4 10 27 8 8 5 
27,0.291,12992,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 ,21 10 8 3 5 8 13 8 21 13 8 13 8 21 5 8 13 8 10 5 21 27 27 7 5 10 27 8 5 17 4 13 10 7 4 21 27 8 7 5 4 13 10 10 4 10 27 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 10 10 3 8 13 8 21 4 10 7 8 7 7 4 13 10 10 4 21 27 27 7 8 4 13 8 10 4 8 13 8 21 13 4 17 17 10 3 10 27 8 8 5 10 27 8 5 7 10 27 8 5 5 27 27 8 5 7 10 27 8 13 5 10 13 8 7 13 21 27 8 3 5 8 13 10 10 4 10 27 8 5 5 
28,0.279,16541,0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 ,21 27 3 3 8 8 13 8 23 13 8 13 8 21 5 10 13 8 10 13 21 27 27 8 5 10 27 8 5 17 4 13 10 10 4 21 27 27 4 8 4 13 10 10 4 10 27 8 5 13 10 13 8 10 13 21 27 8 3 5 10 13 8 10 13 4 17 10 10 3 8 13 8 21 4 10 27 8 5 13 4 13 10 10 4 17 27 8 4 5 4 13 8 10 4 8 13 8 21 5 4 17 17 10 3 10 27 8 8 5 8 27 8 5 13 10 27 8 5 5 27 27 8 5 13 10 27 8 13 13 10 13 8 5 13 21 27 8 3 5 4 21 8 10 4 8 27 3 5 5 
29,0.297,13424,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 ,21 10 7 3 5 22 13 8 21 4 21 13 16 21 16 8 13 8 7 5 21 27 27 7 5 22 27 8 15 17 4 13 10 7 4 21 27 21 16 5 4 17 15 10 4 7 27 8 5 7 22 13 8 7 13 21 27 3 3 16 22 13 8 7 13 4 17 22 10 3 15 22 15 21 4 10 7 8 5 7 4 13 10 10 4 21 27 21 7 5 4 13 8 10 4 8 27 27 21 5 4 17 17 10 3 22 27 8 5 5 10 27 8 5 7 22 27 8 7 5 27 27 8 5 7 22 27 3 13 17 10 13 8 7 13 21 27 3 3 5 4 13 15 10 4 22 27 8 15 5 
30,0.303,12240,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 ,21 10 3 3 20 8 13 8 21 4 20 27 27 21 4 21 27 27 7 5 21 27 27 7 5 10 20 8 5 17 4 13 10 7 4 21 27 21 7 5 4 13 15 10 4 7 20 8 5 7 10 13 8 7 13 21 27 8 3 5 10 13 8 7 13 4 17 10 10 3 20 13 15 21 4 10 7 8 5 7 4 13 8 10 4 21 27 27 7 5 4 13 8 10 4 8 13 27 21 5 4 17 17 10 3 10 20 8 8 5 10 20 8 5 7 8 27 8 7 5 27 20 3 5 7 21 20 3 15 17 10 13 8 7 13 21 27 3 3 5 4 27 15 21 4 10 20 3 15 5 
31,0.316,14310,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 ,21 27 3 3 5 8 13 8 21 4 8 13 10 21 5 8 27 10 7 5 21 27 27 7 5 22 27 3 5 17 4 13 10 7 4 21 27 21 4 5 4 17 15 10 4 10 27 8 5 7 22 13 8 7 13 21 3 3 3 5 22 13 8 7 13 4 17 22 10 3 15 22 15 21 4 10 7 8 7 7 4 13 10 10 4 21 10 27 7 13 4 13 8 10 4 8 13 27 21 5 4 17 17 10 3 22 27 8 7 5 10 27 8 5 13 22 27 8 7 5 27 27 8 5 7 22 3 3 15 17 10 13 8 7 7 21 27 3 3 5 4 13 15 21 4 22 27 8 15 5 
32,0.298,16797,0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 ,21 27 7 3 5 8 27 8 21 13 3 13 10 21 5 8 27 8 7 5 21 27 27 7 5 22 27 3 15 17 4 13 10 7 4 21 27 21 7 5 4 17 15 10 4 10 27 8 5 7 22 13 8 7 13 21 27 3 3 5 22 13 8 7 13 4 17 22 10 3 15 22 15 21 4 10 7 8 7 13 4 13 10 10 4 21 10 27 7 5 4 13 8 10 4 21 13 10 21 5 4 17 17 10 3 22 27 8 8 5 10 27 8 5 13 22 27 8 7 5 27 7 8 5 7 22 27 3 15 17 10 13 8 7 13 21 3 3 3 5 8 21 15 21 4 22 27 3 15 5 
